sample_size,num_bootstrap,noise_std,te_diff,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,0.1,6.935872226949544,6.760861548540258,6.758830445060827,6.5
100.0,500.0,0.5,0.1,7.0541703702354,6.834915234908742,7.008333308106601,6.5
100.0,500.0,0.5,0.1,6.711673914816407,6.576521431868612,6.628606532103329,6.5
100.0,500.0,0.5,0.1,6.4969989914937365,6.135772280130523,6.235028344701338,5.6
100.0,500.0,0.5,0.1,6.666842043741435,6.451305000396457,6.518725488311843,6.5
100.0,500.0,0.5,0.1,6.836501122090567,6.590773373626903,6.5657396783602335,5.6
100.0,500.0,0.5,0.1,6.767553706516614,6.344046033893758,6.689688586606042,6.1000000000000005
100.0,500.0,0.5,0.1,6.32962484262435,5.9248568102011605,6.072639542190472,6.1000000000000005
100.0,500.0,0.5,0.1,7.166109100281151,6.759771452104585,6.926153343944406,5.6
100.0,500.0,0.5,0.1,6.39923111945166,5.980540088356976,6.226659450730717,6.1000000000000005
100.0,500.0,0.5,0.1,7.412074078605001,7.274999071780165,7.332939683568173,6.5
100.0,500.0,0.5,0.1,5.973494562522519,5.3919976047862175,5.626915900760624,6.5
100.0,500.0,0.5,0.1,5.602903252263297,5.00561762459408,4.984190284260072,5.4
100.0,500.0,0.5,0.1,6.824571419608213,6.207592332987387,6.279315024535154,5.9
100.0,500.0,0.5,0.1,6.266218792835664,5.904059708349096,5.938110593865857,5.0
100.0,500.0,0.5,0.1,6.246905817953204,5.95195231658322,6.115468756361518,6.1000000000000005
100.0,500.0,0.5,0.1,6.416360699432941,5.764656575802536,5.9874995316547235,6.5
100.0,500.0,0.5,0.1,6.821583722042411,6.447987877665974,6.705597684775455,6.5
100.0,500.0,0.5,0.1,7.456414623263018,7.302969355501781,7.494231570353642,6.5
100.0,500.0,0.5,0.1,7.114809537043712,6.687084007354932,6.727104771181251,6.5
100.0,500.0,0.5,0.1,6.3462738710197995,5.723011214549592,6.016370963483672,6.5
100.0,500.0,0.5,0.1,6.615498431333485,6.104150068685054,6.237502436796621,5.699999999999999
100.0,500.0,0.5,0.1,7.081387747622758,6.74716606437482,6.989468421477989,6.1000000000000005
100.0,500.0,0.5,0.1,7.07729638110763,6.6110433144528695,6.402621036479859,6.5
100.0,500.0,0.5,0.1,7.072143531088518,6.680093636739435,6.753393983995057,5.6
100.0,500.0,0.5,0.1,6.962416267217087,6.5908861972103825,6.888699133766547,6.5
100.0,500.0,0.5,0.1,6.325760767792295,5.917293333475135,5.97752869762031,6.5
100.0,500.0,0.5,0.1,6.699895548405523,6.089131631185932,6.2404639158113895,6.1000000000000005
100.0,500.0,0.5,0.1,7.062708456118715,6.914260157396561,6.992537701832676,6.1000000000000005
100.0,500.0,0.5,0.1,7.174674508658936,6.719637756043654,6.673533240122657,6.5
100.0,500.0,0.5,0.1,6.565629946234543,6.0890173673528505,6.2944797783421125,5.9
100.0,500.0,0.5,0.1,6.323119381191384,5.971595634821752,6.093965003144703,6.5
100.0,500.0,0.5,0.1,7.071916679482023,6.662272757758661,6.681917037272864,6.5
100.0,500.0,0.5,0.1,6.6664212725496075,5.998349360372465,6.141455180543804,6.1000000000000005
100.0,500.0,0.5,0.1,7.36279827997977,7.239945453276576,7.235662380748926,6.5
100.0,500.0,0.5,0.1,5.765126428538256,5.268887320175193,5.335194358760417,6.5
100.0,500.0,0.5,0.1,6.175726103224825,5.454726388044189,5.40056166077408,6.5
100.0,500.0,0.5,0.1,6.0421925693057315,5.51257248652323,5.792054378944517,5.699999999999999
100.0,500.0,0.5,0.1,6.348676667225326,5.7453780350972306,6.21461971267917,6.5
100.0,500.0,0.5,0.1,6.493154866357658,5.858480078496507,5.913302634616645,6.5
100.0,500.0,0.5,0.1,6.279063676270011,5.835692845191341,6.021045559905124,6.5
100.0,500.0,0.5,0.15,6.884492123661664,6.3278839753007095,6.386911976430526,6.6499999999999995
100.0,500.0,0.5,0.15,7.422455880511647,6.994313212794379,7.081160993425853,7.25
100.0,500.0,0.5,0.15,7.509450185345678,6.9976196641250725,7.174720929964797,7.25
100.0,500.0,0.5,0.15,8.436288109783705,8.045905550667742,7.927131687265906,7.25
100.0,500.0,0.5,0.15,8.168359174507525,7.993177708692512,7.997436359193392,7.25
100.0,500.0,0.5,0.15,6.667384642422917,6.416529430814497,6.410816880811342,7.25
100.0,500.0,0.5,0.15,8.203683591605095,7.970356409185948,8.050615562179164,7.25
