sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr
100,2000,8.232218200562304,5.1,7.558665422233156,7.815255397037324
100,2000,6.408814412083715,5.5,5.640551703089782,5.917165191611522
100,2000,7.291631617159048,5.6000000000000005,6.6486623817485775,7.136838109742539
100,2000,5.6211602397497265,4.5,4.486758492735506,4.503411756432201
100,2000,5.481079022830273,4.5,4.427275487989725,4.759817823213081
100,2000,7.249142839216427,5.4,5.883853353068461,6.115553736325252
100,2000,6.714862745142238,4.8,6.252460581546547,6.469714081842895
100,2000,6.234649668074891,5.5,5.629893787657844,6.023186885993502
100,2000,5.766185218342543,5.4,4.319990190161572,5.160007507444087
100,2000,6.643167444084823,6.0,5.66084387562135,6.1298463048205445
100,2000,7.912829246526036,6.0,7.424091758519264,7.836084623116585
100,2000,7.229619074087418,6.0,6.1377821620337825,6.006603166289697
100,2000,5.997477503966781,5.0,4.905633154591014,5.446424374137234
100,2000,6.701718024773438,5.4,5.798219402175107,6.0312186822627005
100,2000,6.847388571912681,5.2,5.815120334276114,6.298106914734501
100,2000,7.154592762215262,6.0,6.079725444166563,5.850031642201664
100,2000,8.424656814158116,5.0,7.973158010143878,7.857016866530727
100,2000,6.924832534434172,6.0,5.932575680760992,6.625532462746293
100,2000,6.359419238009916,5.0,5.46413885229034,5.514794201410202
100,2000,6.799791096811047,5.6,5.642938079757075,5.56142561958037
100,2000,8.161098801386654,5.5,7.977293363084017,8.034859127758564
100,2000,7.347126337476743,5.9,6.367307923286168,6.472447685881853
100,2000,6.7760377355955494,5.5,5.869145435639561,6.130513301427178
100,2000,5.646238762382769,6.0,4.607542628045989,5.070024230735571
100,2000,8.146207413650771,4.5,7.860493397932336,7.741442150453999
100,2000,7.006498953966979,5.5,5.644723929572224,5.769192048534583
100,2000,7.266189985466513,5.9,6.654015663880132,6.829530731279457
100,2000,5.755844977584979,4.7,4.861946723133118,5.378229483418627
100,2000,6.008261302062763,4.6,4.600684316630741,4.725300039136863
100,2000,6.2041822660675825,5.0,5.342433818330934,5.58243618954464
100,2000,5.501405578145196,5.8,3.817606617433932,5.284191603859175
100,2000,5.862783258753835,5.6,4.551358799658984,4.665402615618336
100,2000,6.1231309424527725,5.0,5.054667224326968,5.112177166393108
100,3000,5.291236288707334,5.0,4.191592575200142,4.334880258588179
100,3000,7.88028050721312,5.0,7.104494186037832,7.012818824823968
100,3000,7.013814622740871,4.5,5.698166654894737,5.547607738772917
100,3000,9.05730702841065,5.5,8.652113632239999,8.462419820577637
100,3000,7.836718349015047,6.0,7.15114836831983,7.1406578601665025
100,3000,5.273319773983033,5.5,4.451674760723325,4.964861274697146
100,3000,7.907367183210189,6.0,6.9528735586236525,7.027844422398337
100,3000,6.025830934533285,6.0,4.602696586253982,5.2634301306385485
100,3000,6.335268952973312,5.0,4.998893404971964,4.59056106651049
100,3000,6.249236320014336,5.800000000000001,5.470235645135264,5.879340784848155
100,3000,7.108340740470796,6.0,6.576256373761196,6.821054704568354
100,3000,6.057120203057304,5.9,5.569488676425271,5.741044093505438
100,3000,6.32873018092459,5.2,5.742296368496029,6.019796792763768
100,3000,6.333684087482872,6.0,5.688843426370237,5.657202791903674
100,3000,7.573002244181135,5.1,7.020981260824366,7.229559060311801
100,3000,6.726513778899468,5.8,5.956493154228088,6.612018908601753
100,3000,6.2673509199499495,4.5,5.511854063625034,5.351991699504016
100,3000,8.232218200562304,5.1,7.556455925212304,7.797477495850931
100,3000,6.408814412083715,5.5,5.633010196488979,5.931973509692314
100,3000,7.291631617159048,5.6000000000000005,6.655635503556846,7.171174889101084
100,3000,5.6211602397497265,4.5,4.493597457714985,4.516722291137079
100,3000,5.481079022830273,4.5,4.410923439835164,4.797042203009664
100,3000,7.249142839216427,5.4,5.87855179155553,6.144595537661461
100,3000,6.714862745142238,4.8,6.248228754372578,6.450157886262402
100,3000,6.234649668074891,5.5,5.647862634351712,6.0146391552696485
100,3000,5.766185218342543,5.4,4.303639477226529,5.183701573278552
100,3000,6.643167444084823,6.0,5.659785132378703,6.14768017506231
100,3000,7.912829246526036,6.0,7.418743948354196,7.842761988372282
100,3000,7.229619074087418,6.0,6.131042602689609,6.041151412039079
100,3000,5.997477503966781,5.0,4.909746164558428,5.501453594170779
100,3000,6.701718024773438,5.4,5.798966776718347,6.04707323939714
100,3000,6.847388571912681,5.2,5.823388792690301,6.2997597687716205
100,3000,7.154592762215262,6.0,6.082240053516699,5.814044679550645
100,3000,8.424656814158116,5.0,7.955895174817837,7.89418243385682
100,3000,6.924832534434172,6.0,5.938920515013889,6.607495263871384
100,3000,6.359419238009916,5.0,5.459042534775934,5.524259050941158
100,3000,6.799791096811047,5.6,5.626353135933793,5.598420628834615
100,3000,8.161098801386654,5.5,7.968211118383998,8.037508601981667
100,3000,7.347126337476743,5.9,6.376577568693167,6.423479497374391
100,3000,6.7760377355955494,5.5,5.859153952790725,6.123863437683681
100,3000,5.646238762382769,6.0,4.603154594036589,5.118571804391747
100,3000,8.146207413650771,4.5,7.872853598779533,7.735113373411115
100,3000,7.006498953966979,5.5,5.649919522906085,5.761065546703544
100,3000,7.266189985466513,5.9,6.640048667131493,6.842808103636561
100,3000,5.755844977584979,4.7,4.868987059947334,5.347599744454844
100,3000,6.008261302062763,4.6,4.607070602529654,4.723296511149642
100,3000,6.2041822660675825,5.0,5.358744134106756,5.59104110779122
100,3000,5.501405578145196,5.8,3.8422405148321586,5.27203951051747
